TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:00:27,000","-20.2532","149.0251","1501953137000","-20.2534","149.0252875","15","38","100","60","2.2","4.699651288533839","14.4","15.147498877168392","43.606084494354214","123","456","Prop added in a second instance","mavic_pro"
"00:00:28,000","-20.2532","149.0251","1501953138000","-20.2534","149.0253","16","42.0125","100","60","2.2","4.69965127896744","14.445000000000011","15.190284630114757","47.82560800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:29,000","-20.2532","149.0251","1501953139000","-20.2534","149.0253","16","45.900000000000006","100","60","2.2","0","13.99500000000001","13.99500000000001","51.71310800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:30,000","-20.2532","149.0251","1501953140000","-20.2534","149.0253","15","49.3125","100","60","2.2","0","12.28499999999998","12.28499999999998","55.12560800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:31,000","-20.2532","149.0251","1501953141000","-20.2534","149.0253","16","52.225","100","60","2.2","0","10.485000000000005","10.485000000000005","58.03810800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:32,000","-20.2532","149.0251","1501953142000","-20.2534","149.0253","16","54.625","100","60","2.2","0","8.639999999999995","8.639999999999995","60.43810800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:33,000","-20.2532","149.0251","1501953143000","-20.2534","149.0253","16","56.525","100","60","2.2","0","6.8399999999999945","6.8399999999999945","62.338108002719416","123","456","Prop added in a second instance","mavic_pro"
"00:00:34,000","-20.2532","149.0251","1501953144000","-20.2534","149.0253","16","57.925","100","60","2.2","0","5.039999999999996","5.039999999999996","63.738108002719414","123","456","Prop added in a second instance","mavic_pro"
"00:00:35,000","-20.2532","149.0251","1501953145000","-20.2534","149.0253","16","58.81249999999999","100","60","2.2","0","3.1949999999999847","3.1949999999999847","64.62560800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:36,000","-20.2532","149.0251","1501953146000","-20.2534","149.0253","16","59.1875","100","60","2.2","0","1.3500000000000256","1.3500000000000256","65.00060800271942","123","456","Prop added in a second instance","mavic_pro"
"00:00:37,000","-20.2532","149.0251","1501953147000","-20.2534","149.0253","16","59.199999999999996","100","60","2.2","0","0.04499999999998465","0.04499999999998465","65.0131080027194","123","456","Prop added in a second instance","mavic_pro"
